ALBU_HUMAN_UPS
ANT3_HUMAN_UPS
ANXA5_HUMAN_UPS
B2MG_HUMAN_UPS
BID_HUMAN_UPS
CAH1_HUMAN_UPS
CAH2_HUMAN_UPS
CATA_HUMAN_UPS
CO5_HUMAN_UPS
CRP_HUMAN_UPS
CYB5_HUMAN_UPS
CYC_HUMAN_UPS
EGF_HUMAN_UPS
FABPH_HUMAN_UPS
GELS_HUMAN_UPS
GSTA1_HUMAN_UPS
GSTP1_HUMAN_UPS
HBA_HUMAN_UPS
HBB_HUMAN_UPS
IFNG_HUMAN_UPS
IGF2_HUMAN_UPS
IL8_HUMAN_UPS
KCRM_HUMAN_UPS
LALBA_HUMAN_UPS
LEP_HUMAN_UPS
LYSC_HUMAN_UPS
MYG_HUMAN_UPS
NEDD8_HUMAN_UPS
NQO1_HUMAN_UPS
NQO2_HUMAN_UPS
PDGFB_HUMAN_UPS
PPIA_HUMAN_UPS
PRDX1_HUMAN_UPS
RASH_HUMAN_UPS
RET4_HUMAN_UPS
RS27A_HUMAN_UPS
SODC_HUMAN_UPS
SUMO1_HUMAN_UPS
SYHC_HUMAN_UPS
SYUG_HUMAN_UPS
TAU_HUMAN_UPS
THIO_HUMAN_UPS
TNFA_HUMAN_UPS
TRFE_HUMAN_UPS
TRFL_HUMAN_UPS
UB2E1_HUMAN_UPS
UBC9_HUMAN_UPS
UBE2C_HUMAN_UPS
