"Id"	"Accession"	"Gene_name"	"Identification_type_10amol_1"	"Identification_type_10amol_2"	"Identification_type_10amol_3"	"Identification_type_10amol_4"	"Identification_type_50amol_1"	"Identification_type_50amol_3"	"Identification_type_50amol_2"	"Identification_type_50amol_4"	"Identification_type_100amol_1"	"Identification_type_100amol_3"	"Identification_type_100amol_2"	"Identification_type_100amol_4"	"Identification_type_250amol_1"	"Identification_type_250amol_2"	"Identification_type_250amol_3"	"Identification_type_250amol_4"	"Identification_type_500amol_1"	"Identification_type_500amol_3"	"Identification_type_500amol_2"	"Identification_type_500amol_4"	"Identification_type_1fmol_1"	"Identification_type_1fmol_2"	"Identification_type_1fmol_3"	"Identification_type_1fmol_4"	"Identification_type_5fmol_1"	"Identification_type_5fmol_3"	"Identification_type_5fmol_2"	"Identification_type_5fmol_4"	"Identification_type_10fmol_1"	"Identification_type_10fmol_2"	"Identification_type_10fmol_3"	"Identification_type_10fmol_4"	"Identification_type_25fmol_1"	"Identification_type_25fmol_2"	"Identification_type_25fmol_3"	"Identification_type_25fmol_4"	"Identification_type_50fmol_1"	"Identification_type_50fmol_2"	"Identification_type_50fmol_3"	"Identification_type_50fmol_4"	"Specific_peptides"	"Intensity_10amol_1"	"Intensity_10amol_2"	"Intensity_10amol_3"	"Intensity_10amol_4"	"Intensity_50amol_1"	"Intensity_50amol_3"	"Intensity_50amol_2"	"Intensity_50amol_4"	"Intensity_100amol_1"	"Intensity_100amol_3"	"Intensity_100amol_2"	"Intensity_100amol_4"	"Intensity_250amol_1"	"Intensity_250amol_2"	"Intensity_250amol_3"	"Intensity_250amol_4"	"Intensity_500amol_1"	"Intensity_500amol_3"	"Intensity_500amol_2"	"Intensity_500amol_4"	"Intensity_1fmol_1"	"Intensity_1fmol_2"	"Intensity_1fmol_3"	"Intensity_1fmol_4"	"Intensity_5fmol_1"	"Intensity_5fmol_3"	"Intensity_5fmol_2"	"Intensity_5fmol_4"	"Intensity_10fmol_1"	"Intensity_10fmol_2"	"Intensity_10fmol_3"	"Intensity_10fmol_4"	"Intensity_25fmol_1"	"Intensity_25fmol_2"	"Intensity_25fmol_3"	"Intensity_25fmol_4"	"Intensity_50fmol_1"	"Intensity_50fmol_2"	"Intensity_50fmol_3"	"Intensity_50fmol_4"
126291	"SSBP1_YEAST"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	253	73660800	87964976	73945656	68277000	72765720	77104912	68180080	58996884	80623512	87724240	80991536	65199092	70247880	70457920	79606872	55405608	72163088	79207384	67829976	64077876	71607776	67113648	81479096	68517480	72349312	79779136	69053352	71327808	79731840	74672680	83368832	76390456	94202496	72788112	85379240	71540512	90545328	73061400	84010488	55979496
124305	"SSD1_YEAST"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	415	31149528	33437032	27734650	25857610	28248180	31704482	28111392	24161860	32112716	34847040	30995960	25787974	27364950	28103950	29686166	23656252	29450438	32762014	29467234	27124880	27221606	26039334	32021192	29594822	29150056	30556864	27429624	27945460	32538696	29680684	31475812	30014328	36817648	29836838	31230750	29563852	34909376	28467644	33672648	19522932
125417	"SSF1_YEAST"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	3	NA	NA	NA	NA	NA	NA	1420052.25	NA	NA	NA	NA	NA	NA	1674779.88	NA	NA	NA	NA	NA	NA	940207.69	NA	NA	1613523.75	NA	NA	NA	1400855.5	NA	NA	NA	1822563.5	NA	NA	NA	1544938.5	NA	NA	NA	NA
125416	"SSF2_YEAST"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	39	815117.38	874467.88	304394.47	703364.44	770270.5	727297.38	346489.88	259911.89	908155.19	1259446.38	178545.61	790285.5	745673.44	299040.56	325076.09	525637.5	783868.69	843724.19	777052.31	758369.94	860599.88	293323.59	962905.06	843606.88	366825.41	1121515.12	315324.75	840029.88	456160.38	801805	371140.34	953458.56	1193329.88	878427.38	1108196.5	878203.75	1152232.75	881804.31	581122.81	832695.81
124086	"SSH1_YEAST"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	157	25309864	27307544	24844564	23285384	26213338	28822808	25201522	20837350	28802476	32213970	27886998	23509888	25448074	24268920	28682594	20877956	25517108	28697454	25693174	22913260	23940858	25575564	28491274	24572746	24801076	29455424	24889568	25319260	27024528	26074156	30502040	24067846	30771812	25516692	29285572	23977544	28656836	24991012	30192308	15181262
123910	"SSK2_YEAST"	NA	"By matching"	"By MS/MS"	"By matching"	"By matching"	"By matching"	"By matching"	"By matching"	"By matching"	"By matching"	"By matching"	"By matching"	"By matching"	"By MS/MS"	"By matching"	"By matching"	"By matching"	"By matching"	"By MS/MS"	"By MS/MS"	"By matching"	"By MS/MS"	"By matching"	"By MS/MS"	"By matching"	"By MS/MS"	"By matching"	"By matching"	"By matching"	"By MS/MS"	"By matching"	"By matching"	"By matching"	"By matching"	"By matching"	"By matching"	"By matching"	"By matching"	"By matching"	"By matching"	"By matching"	2	166437.45	171735.95	96809.19	88000.11	116650.33	109740.18	143958.94	88888.57	125352.67	154516.86	110122.95	103823.02	126145.02	132548.84	106875.37	97339.12	109052.19	176044.05	120498.89	96112.06	155014.2	144890.17	151343.38	114819.84	113108.21	130607.32	107205.54	92130.99	190840.3	135025.48	113467.93	125331.8	105205.39	105179.6	71453.99	92031.2	133080.98	88597.77	87954.18	82971.92
123706	"SSO1_YEAST"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	151	9525784	9608760	8338749	8156763.5	8723181	9165540	7906847	7703893	9154441	11139790	10634863	8909916	8672753	8045512.5	9271058	7481873.5	9363906	11897177	8131325.5	8304044.5	8593355	8659527	10213750	9153413	8499848	9965873	8165718.5	8902571	9981419	8416009	10737069	10372601	10129160	8776960	9771700	9841829	12152283	9234406	10547719	4745610
123707	"SSO2_YEAST"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	218	20116700	23323020	19767692	20442328	20377256	21927120	20705048	17201892	22216208	26637410	23379116	19082882	21099578	18868474	21295434	16954178	22435268	23768952	20434266	17735178	20323010	19334320	23533146	19415240	20007496	23277512	18573144	19190416	21503922	21237108	24862526	21091004	25303324	20299324	23285732	20456144	27088812	20084752	24897572	15019865
124104	"SSU72_YEAST"	NA	"By MS/MS"	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By matching"	"By matching"	"By MS/MS"	"By MS/MS"	"By matching"	"By matching"	"By MS/MS"	"By MS/MS"	"By matching"	"By MS/MS"	"By matching"	"By MS/MS"	"By matching"	"By matching"	"By MS/MS"	"By MS/MS"	"By matching"	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By matching"	"By MS/MS"	"By MS/MS"	"By matching"	"By MS/MS"	"By matching"	"By matching"	"By matching"	"By matching"	"By MS/MS"	"By matching"	"By matching"	"By matching"	"By MS/MS"	21	967251.75	214765.94	1020518.69	863321.81	1114953	1025678.38	255487.05	850475.12	967145.31	275406.94	144479.31	1013582.06	309239.41	NA	1168208.5	1032563.31	283723.62	1458804.38	1232406	1201083.5	324206.38	1041620.56	1403488.38	1183394.38	343420.91	1542645.88	332306.81	1295866.75	474626.75	1535154.38	1614374	2129705.75	521023.75	431627.5	1534428.12	1678732.62	1721026.25	558918.81	1947313.25	1088973.88
125030	"SSZ1_YEAST"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	916	410283840	446185440	395429120	373567456	390065184	428554784	387621792	329223008	448156704	471153376	427350624	369488544	388857792	378353312	436419072	328919520	399068928	442537408	385356416	363716256	390008768	373529984	446042112	400566816	379101664	457587136	367885120	399643680	427332128	406186304	475415264	429117024	487555936	395039904	474295392	393075744	498228928	405202400	484265312	258049936
